NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,SEX,AGE5,nationality_group,population_count
AT13,90100,90100,2020,2020-01-01,1,5,EEA,84
AT13,90100,90100,2021,2021-01-01,1,5,EEA,99
AT13,90100,90100,2022,2022-01-01,1,5,EEA,88
AT13,90100,90100,2023,2023-01-01,1,5,EEA,98
AT13,90100,90100,2024,2024-01-01,1,5,EEA,94
AT13,90100,90100,2025,2025-01-01,1,5,EEA,94
AT13,90100,90100,2002,2002-01-01,1,5,REU,31
AT13,90100,90100,2003,2003-01-01,1,5,REU,32
AT13,90100,90100,2004,2004-01-01,1,5,REU,26
AT13,90100,90100,2005,2005-01-01,1,5,REU,30
AT13,90100,90100,2006,2006-01-01,1,5,REU,43
AT13,90100,90100,2007,2007-01-01,1,5,REU,35
AT13,90100,90100,2008,2008-01-01,1,5,REU,31
AT13,90100,90100,2009,2009-01-01,1,5,REU,30
AT13,90100,90100,2010,2010-01-01,1,5,REU,24
AT13,90100,90100,2011,2011-01-01,1,5,REU,20
AT13,90100,90100,2012,2012-01-01,1,5,REU,25
AT13,90100,90100,2013,2013-01-01,1,5,REU,20
AT13,90100,90100,2014,2014-01-01,1,5,REU,22
AT13,90100,90100,2015,2015-01-01,1,5,REU,27
AT13,90100,90100,2016,2016-01-01,1,5,REU,26
AT13,90100,90100,2017,2017-01-01,1,5,REU,34
AT13,90100,90100,2018,2018-01-01,1,5,REU,34
AT13,90100,90100,2019,2019-01-01,1,5,REU,33
AT13,90100,90100,2020,2020-01-01,1,5,REU,34
AT13,90100,90100,2021,2021-01-01,1,5,REU,33
AT13,90100,90100,2022,2022-01-01,1,5,REU,32
AT13,90100,90100,2023,2023-01-01,1,5,REU,55
AT13,90100,90100,2024,2024-01-01,1,5,REU,55
AT13,90100,90100,2025,2025-01-01,1,5,REU,49
AT13,90100,90100,2002,2002-01-01,1,5,TCN,19
AT13,90100,90100,2003,2003-01-01,1,5,TCN,17
AT13,90100,90100,2004,2004-01-01,1,5,TCN,17
